tileswide 30
tileshigh 30
tilewidth 32
tileheight 32

layer 0
10,7,7,7,7,13,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,13,7,7,7,7,7,7,7,15,
11,0,6,0,2,45,0,4,1,2,3,5,0,3,4,0,6,17,28,29,30,45,6,5,4,3,2,1,0,11,
11,34,35,36,4,45,2,6,0,1,2,4,1,4,2,1,5,3,31,32,33,45,4,5,6,0,1,2,3,11,
11,42,37,38,0,12,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,14,0,1,2,3,6,5,4,11,
11,39,40,41,6,11,2,4,1,0,2,0,6,4,2,6,3,4,2,1,0,45,2,5,1,2,3,2,1,11,
11,0,2,5,4,11,1,3,5,1,6,3,1,5,0,1,2,6,5,3,17,45,1,4,0,3,5,6,0,11,
11,6,0,1,2,11,0,2,4,10,7,7,7,7,7,7,7,7,7,7,7,14,0,3,6,4,0,3,4,11,
12,7,44,44,7,16,44,44,44,14,17,0,1,2,4,5,0,2,4,6,1,26,1,2,4,5,6,1,2,11,
11,1,2,3,4,1,5,4,0,11,1,3,4,5,3,6,1,3,5,0,2,23,0,3,0,1,2,0,1,11,
11,43,4,5,2,5,2,2,3,11,2,4,6,10,7,7,7,7,7,7,7,14,6,5,6,5,3,2,3,11,
12,7,7,7,13,7,7,46,47,14,6,0,1,11,3,1,0,1,2,3,4,11,0,1,3,6,4,0,1,11,
11,1,0,6,11,17,2,1,0,11,3,4,5,11,2,34,-1,36,28,29,30,11,2,4,2,3,5,4,6,11,
11,2,18,5,26,5,6,0,5,11,0,1,2,11,3,42,37,38,31,32,33,11,3,5,0,1,0,1,2,11,
11,3,2,1,23,4,5,2,6,11,4,6,5,11,0,39,40,41,0,6,5,11,0,6,3,2,5,4,3,11,
11,6,5,4,11,3,4,3,10,8,2,0,6,9,15,1,2,10,7,7,7,8,1,2,3,4,5,6,0,11,
11,0,2,3,11,2,1,0,11,3,4,2,1,0,11,3,4,11,2,6,5,0,6,5,28,29,30,1,2,11,
12,7,7,44,16,44,7,7,14,1,6,5,6,6,11,5,6,45,3,1,0,1,2,4,31,32,33,3,4,11,
11,4,2,3,6,5,0,6,11,0,2,0,4,3,11,2,1,11,4,5,6,3,4,3,2,1,0,6,5,11,
11,0,34,35,36,2,1,5,9,7,7,13,7,7,16,7,7,8,0,1,2,10,7,7,7,15,1,2,3,11,
11,5,42,37,38,4,5,2,1,3,2,11,0,1,2,3,4,2,5,3,4,11,6,0,1,11,5,0,4,11,
11,4,39,40,41,3,17,3,0,4,1,11,1,34,-1,36,0,6,0,1,6,11,2,20,3,11,6,1,2,11,
11,2,0,17,0,1,6,4,6,5,0,11,2,42,37,38,1,5,2,3,4,11,5,4,6,11,0,3,4,11,
11,5,4,3,28,29,30,0,2,3,5,26,3,39,40,41,2,4,5,6,0,11,4,3,2,11,5,6,0,11,
11,0,17,2,31,32,33,3,1,4,6,23,4,5,6,0,3,3,3,2,1,11,6,5,3,11,1,2,3,11,
11,6,5,2,1,5,4,3,2,1,0,11,4,3,2,1,4,2,4,10,7,14,4,6,4,11,4,5,6,11,
11,0,4,3,0,6,3,2,5,5,2,26,5,6,0,1,5,1,5,11,17,11,0,1,2,11,0,3,2,11,
11,5,4,6,3,0,4,1,4,4,3,23,6,4,3,2,6,0,6,11,6,9,46,7,47,8,3,6,5,11,
11,6,3,0,4,1,5,0,3,0,6,11,5,3,1,6,4,2,0,11,5,3,0,3,1,6,4,2,1,11,
11,0,2,1,5,2,6,6,2,1,0,11,17,4,2,0,5,3,1,11,4,2,1,4,2,0,5,3,0,11,
9,7,7,7,7,7,7,7,7,7,7,16,7,7,7,7,7,7,7,16,7,7,7,7,7,7,7,7,7,8,

layer 1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,27,27,27,27,27,27,27,27,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,-1,-1,-1,-1,-1,-1,-1,27,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,-1,-1,-1,-1,-1,-1,-1,27,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,-1,-1,-1,-1,-1,-1,-1,27,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,-1,-1,-1,-1,-1,-1,-1,27,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,-1,-1,-1,-1,-1,-1,-1,27,
-1,-1,-1,-1,-1,-1,-1,-1,-1,27,27,27,27,27,27,27,27,27,27,27,27,27,-1,-1,-1,-1,-1,-1,-1,27,
27,27,27,27,27,27,27,27,27,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,
27,-1,-1,-1,-1,-1,-1,-1,-1,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,
27,-1,-1,-1,-1,-1,-1,-1,-1,27,-1,-1,-1,27,27,27,27,27,27,27,27,27,-1,-1,-1,-1,-1,-1,-1,27,
